price,discount,selling_proposition,product_title,rank_number,rank_type,rank_category,is_ranked
7.85,40,0,"3pcs/Set Women Seamless Yoga Shorts, High Waist Stretch Workout Shorts Women Boxer Shorts",9.0,Best Sellers,Women Sports Shorts,1
1.02,67,0,"1 Pc Battery Operated Mini Portable Fan, Lightweight Handheld Fan - Ideal For Office, Outdoor, Traveling And Camping - Stay Cool Anytime, Anywhere! (Requires AAA Batteries, Not Included) Camping Stuff",5.0,Best Sellers,Camping & Hiking,1
88.7,24,0,"Sports Shoes, Street Sports Shoes, Men's And Women's Sports Shoes, Couple Shoes",1.0,Best Seller,In Black and White Men Sneakers,1
5.96,52,3100,SHEIN Yoga Basic Seamless High Stretch Sports Set,,,,0
7.64,25,8300,Tennis Basic Pleated Detail Sports Skort With Phone Pocket Tennis Skort,,,,0
9.39,12,200,SHEIN EZwear American Flag & Letter Graphic Pullover,,,,0
17.7,30,0,Yoga Basic Seamless High Elasticity Sports Leggings,4.0,Best Sellers,Women Sports Leggings,1
18.6,21,30,Women Lightweight Lace Up Sneakers Breathable Running Sports Shoes,,,,0
1.54,23,0,"Sun Protective Anti UV 1pc Outdoor Cycling Headgear Windproof, Sun-Proof, And Dustproof Face Mask, Good Protection For Biking, Hiking, And Skiing",1.0,Best Sellers,Cycling Mask & Scarf,1
11.89,13,0,SHEIN X Virginia & ZeFelipe Women's Hooded Sweatshirt With Drawstring,5.0,Best Seller,In Long Sleeve Women Sweatshirts,1
18.2,12,0,"Over Night Holiday Luggage Travel Duffel Bag With Quilted Argyle Pattern,Large Capacity Waterproof Gym Bag, Weekend Carry-On Handbag With Dry And Wet Separation &Shoes Compartment,Casual Multifunctional Portable Shoulder Bag For Business,Vacation,Outdoor, Skiing,Exercise Fitting Fluffy Bag Quilted Bag Quilt Bag Puffer Bag Quilted Tote Bag Hand Bag Traveling Bag Minimalist",6.0,Best Sellers,Travel Duffel Bags,1
4.38,64,0,"1pc Solar Garden Watering Can Lights,Solar Waterfall Lights With Cascading Lights Waterproof Charging Board,Garden Decor For Outside,Outdoor Solar Light String Fairy LED Hanging Lantern For Yard Decor",4.0,Best Sellers,Path Lights,1
4.94,49,0,"Men Sports Pants Quick-Drying Workout Trousers New Weaving Breathable Straight-Leg Sports Training Pants With Zipper And Pockets, Wide Leg Running Pants",3.0,Best Sellers,Plain Men Sports Pants,1
1.9,10,70,"1PC Portable Mini Transparent Zipper Storage Bag, Bag Accessiores   Compact Multifunctional Organizer, Headphone And Charger Case With Keychain, Transparent Travel Accessories, Available In Black And White Colors, Exquisite And Compact, Suitable For Storing Small Items, Data Cable Storage Bag, Bracelet Bag, Makeup Bag",,,,0
9.48,49,1000,Yoga Basic 4pcs Medium Support  Seamless Textured Sports Bra,,,,0
4.02,60,100,"1Pc Wooden Hook And Swinging Ring Toss Games,Battle Toss Game For Adults,Indoor/Outdoor Drinking Fun With Party Goods,New Year Valentines Party Gifts,Pool Toys Suitable For Pool Games,Pool Party",,,,0
5.78,11,1700,Yoga Basic Rib-Knit Tummy Control Sports Biker Shorts High Waisted Shorts Stretchy Shorts,,,,0
4.97,43,0,"1pc Adult Bento Box, 1200 Ml Lunch Container, Leak-Proof Bento Box With Cutlery, , 3 Compartment Bento Box Microwave-Safe, Khaki Color Camping",10.0,Best Sellers,Picnic & Camp Kitchen,1
10.77,30,0,Yoga Basic Ribbed Knit Wideband Waist Sports Set,9.0,Best Sellers,Seamless Women Sports Sets,1
2.5,14,0,"1PC Portable Mini Transparent Zipper Storage Bag, Compact Multifunctional Organizer, Headphone And Charger Case With Keychain, Transparent Travel Accessories, Exquisite And Compact, Suitable For Storing Small Items, Data Cable Storage Bag, Bracelet Bag, Makeup Bag,Flower Alphabet A To Z Pattern Sunflower Daisy(Zipper Style And Color Are Random,Random Style And Size Of Circular Rings)",5.0,Best Sellers,Bag Accessories,1
0.75,61,0,5ml Bottom Charge Perfume Refillable Bottle Liquid Container For Cosmetics Spray Bottling Dispenser Press Head Portable Travel,7.0,Best Sellers,Personal Care Products,1
2.47,43,0,Sports Skipping Rope,1.0,Best Sellers,Multi-Use Training Equipment,1
1.73,60,0,"2pcs Cordless Jump Rope With Weighted Balls, Dual-Use Skipping Rope, Sponge Handle, Suitable For Fitness And Exercise",7.0,Best Sellers,Jump Ropes,1
4.69,42,0,Yoga Basic Solid Biker Shorts With Phone Pocket Stretchy Shorts,10.0,Best Sellers,Plain Women Activewear,1
1.47,30,0,"1pc Breathing Necklace For Anxiety & Stress Reducer, Calmigo Calming Device For Meditation, Mindfulness Deep Breathing Tool For Panic Attack, Meditation Relief Gift For Men And Women",1.0,Best Sellers,Scuba Diving and Snorkeling Gear,1
2.37,1,90,"1pc Waterproof Phone Case Crossbody Bag With Lanyard, Universal Touchscreen Swimming And Diving Protective Cover, Sports Bag, School Supplies, Student Mobile Phone Case, Beach Bag, Essential For Sailing, Suitable For Storage Of Swimming, Water Sports And Drifting Equipment",,,,0
30.02,5,0,New Outdoor Training Vest Multifunctional Camouflage Sports Jacket Waterproof Oxford Vest,,,,0
2.75,39,2100,SHEIN Sport Studio Seamless High Stretch Scrunch Butt Wideband Waist Sports Shorts,,,,0
1.89,41,0,"1pc Nano Facial Mister Handy Nano Mist Sprayer 30ml Visual Water Tank Portable Face Steamer Mini USB Nano Mister For Lash Extensions, Skin Care, Makeup (White, Blue, Pink)",4.0,Best Sellers,Personal Care Products,1
4.96,31,0,Yoga Basic Breathable Softness Slogan Graphic Contrast Mesh Sports Tee,4.0,Best Sellers,Slogan Women Sports Tees & Tanks,1
8.36,49,0,"Women's White Shoes, British Style Pure White Lace-Up Leather Athletic Shoes, Round Toe Low-Top Flat Skate Shoes, Trendy Breathable Slip-Resistant White Sneakers For Students",5.0,Best Sellers,Skate Shoes Women Shoes,1
2.43,66,0,Solar Lantern Lights for Hanging or Table Outdoor Solar Light for Patio Courtyard Garden,1.0,Best Sellers,Path Lights,1
3.68,25,30,"1pc/2pcs Upgraded Ankle Strap, Adjustable Foot Ankle Weight Strap, Weightlifting Ankle Strap For Leg Curl And Hip Exercise, Suitable For Both Men And Women, Foot Dumbbell Attachment",,,,0
17.67,32,2600,"3pcs Women's High Waist Compression Yoga Pants With Pockets, Running Pants, Fitness Tights Set",,,,0
1.7,0,0,"One Pair Leather Forefoot Cushions For High Heels, Soft Anti-Shock, Sweat Absorbent And Slip Resistant, Self-Adhesive Invisible Anti-Slip Front Foot Pads For Summer Sandals.",4.0,Best Sellers,RECOMMENDED Happiness Products,1
4.94,26,1300,Yoga Trendy Tie Dye Wide Waistband Sports Shorts With Phone Pocket,,,,0
33.6,21,10,"Women's Orange High-top Sneakers With Thick Sole, Thin Strap, Round Toe, Lace-up And Zipper Design, For Spring And Autumn",,,,0
8.54,25,0,SHEIN Sport Studio Thumb Holes Zip Up Sports Jacket,4.0,Best Sellers,Slim Fit Women Sports Jackets,1
3.35,41,100,"26pcs Detachable Butterfly, Flower & Faux Pearl Decorative Chain For Jelly Shoes, Sandals, Beach Shoes",,,,0
5.0,0,0,New Fashion Sports Goggles Men's And Women's Sunglasses Outdoor Windproof Glasses  Pit  Vipe R,4.0,Best Sellers,Cycling Glasses,1
1.38,40,200,"2000ml, 800ml, 300ml Portable Outdoor Water Bottle, Large Capacity Straw Water Bottle, Gradient Color Water Bottle, Sports Water Bottle, Suitable For Boys And Girls Color Water Bottle",,,,0
6.86,52,0,"Pack Of 10 Solar Powered Plastic Tube Lights For Decorating Villa, Courtyard, Garden; Waterproof Ground Stake Lamp For Outdoor Ambiance, Garden Lawn Light, Suitable For Rural Courtyard Decoration",1.0,Best Sellers,"Outdoor decorative lights, solar-powered, energy-efficient, beautiful, stylish",1
7.5,25,1300,"1pc Pink Hip Resistance Band With 10cm Width, Hip Pad For Glute Bridge & Butt Exercise, For Dumbbell & Kettlebell Workout, Bow Step & Reverse Squat",,,,0
0.65,76,0,2pcs Waterproof Mobile Phone Bag For Outdoors Swimming Water Park Water Rafting Basics Swim Bag Swimmers Tropical Coastal Vibes Beach Bag For Swimming Summer Island Holiday Vacation Beach Accesories For Girl Boy Men Woman,1.0,Best Sellers,Waterproof Cellphone Pouches,1
6.49,0,200,"Women's Sports Sexy Tummy Control Butt Lifting Waist Sculpting Gym Yoga Compression Shorts, Summer Women Boxer Shorts",,,,0
1.5,32,0,"8/20/30/38Pcs Pink Series Shoe Charms For Clogs Sandals, Colorful Weekly Shoe Decoration Premium Quality Popular Charms Accessories Great Gift For Teens Men Women And Adults",3.0,Best Seller,In Multicolor Shoe Decorations,1
1.45,48,200,"1pc Multi-Functional Hair Cutting Cape,Waterproof PE Hairdressing Barber Cape And Hair Cutting Smock",,,,0
1.08,70,0,1pc Desk Mobile Phone Holder Stand Compatible With IPhone IPad  Adjustable Desktop Tablet Holder Universal Table Cell Phone Stand,3.0,Best Sellers,Bicycle Accessories,1
3.86,58,0,"1pc 78.7*55.1inch Portable Waterproof Mat For Beach And Lawn, Outdoor Camping, Picnic Mat, Camping Utensil",8.0,Best Sellers,Picnic Mat,1
1.77,34,500,"1pc Multi-Functional Car Cleaning Gel, Dust Removal Cleaning Agent For Car, Includes Detail Cleaning Of Air Vents & Debris Removal For Keyboard, Computer & Laptops. Available In 70g & 160g. Camping",,,,0
1.49,17,0,"2pcs Sandals Non-Slip Stickers, Forefoot Pads, Women's High Heels, Foot Care Insoles",4.0,Best Sellers,Outdoor Athletic Shoes,1
4.87,28,300,"1pc Portable EVA Hair Straightener Case, Curling Iron Carrying Container, For Hair Flat Iron Straightener Curler, Woman Travel Bag",,,,0
1.26,59,2200,1pc PVC Waterproof Swimming Fanny Pack,,,,0
1.83,24,0,1 Pcs Waterproof Waist Pack - Waterproof Cell Phone Pouch With Waist Strap - Voyage Essentials Waterproof Pouch Dry Bag Keeps Cell Phone And Valuables Safe For Kayaking Boating Fishing On The Beach (Clear),4.0,Best Sellers,Multifunctional Storage Bags,1
7.36,45,0,"Women's Comfortable Breathable Flat Slip-On Casual Sports Shoes, Versatile Design",4.0,Best Seller,In Camel Women Shoes,1
8.2,8,10,"Instant Fix Micro Stitch Gun - Portable Clothing Repair Tool For Quick Hemming, Quilt Tacking & Tagging - Durable Sewing GunVersatile Garment Fixes",,,,0
2.16,42,700,"5pcs Reusable Silicone Leakproof Food Storage Bag For Nut, Grain, Vegetable, Fruit, And Snack - Resealable Clear Party Favor Treat Bags For Travel And Home Kitchen Supplies, Kitchen Stuff Camping",,,,0
1.86,57,900,"50pcs/Roll, Slouchy Rag, Dry And Wet Dual-Use Household Cleaning Rag For Window Car Glass Tableware Pans And Pots, Disposable Dishwashing Towel, Absorbent Non-Stick Oil Scouring Pads, Kitchen Supplies, Cleaning Tools(Random Style) Camping",,,,0
7.12,25,0,Yoga Trendy Color-block Stripe Mid-Calf Length Running Leggings  High Stretch Tummy Control Workout Leggings With Side Phone Pocket,7.0,Best Sellers,Gym & Fitness Women Activewear,1
9.82,25,700,Manfinity Sport Corelite Men Drawstring Waist 2 In 1 Sports Shorts With Phone Pocket Gym Shorts,,,,0
5.69,36,1600,Yoga Basic Wide Waistband Phone Pocket Side Capri Sports Leggings,,,,0
2.2,50,0,"1pc V-shaped Facial Slimming Strap, Anti-snoring Double-layer Chin Lifting Belt, Skin Lifting Tightening Bandage",6.0,Best Sellers,Personal Care Products,1
25.73,31,0,SHEIN Yoga Basic Women's Solid Color Cross Strap Yoga Spiral Sports Suit Travel Workout Outfit Set Women,1.0,Best Sellers,Seamless Women Sports Sets,1
3.4,0,0,"Fairy Window Curtain Lights, 300/200/100 LED Home Decoration String Light [8 Modes & Waterproof] For Halloween Xmas Wedding Party Outdoor Indoor Bedroom Outdoor Lights",5.0,Best Sellers,Outdoor String Lights,1
4.69,42,2900,Yoga Basic Wideband Waist Biker Shorts With Phone Pocket,,,,0
0.85,53,0,"2pcs Silicone Straw Covers Cap Letter Charms, For  Cup, For  Cup Letter Charms, Tumbler Accessories, (1pc Straw Covers Cap + 1pc Letter )",7.0,Best Sellers,Water Bottles for Outdoor,1
2.6,0,30,"1pc Giant Inflatable Ball For Water/ Air Blowing And Filling, Bubble Hitting Toy For Stress Relief,Pool Toys Suitable For Pool Games,Pool Party",,,,0
1.3,0,0,"3pcs Mini Cloud Shape Box Cutter Scalpel Utility Knife Letter Opener Envelope Slitter, Portable Cloud Shape Paper Cutter With Keychain Hole",7.0,Best Sellers,Knives,1
1.43,5,400,"Absorbent Microfiber Dish Cloths, Kitchen Dishwashing Cloth, Oil-Free And Absorbent Stain Removal Towels, Lint Free Dishwashing Towels, Scouring Pads, And Cleaning Rags - Kitchen Accessories And Cleaning Tools",,,,0
2.5,0,0,1pc Boob Tape Lift & Firm Your Breasts With Body Tape & Petal Backless Nipple Cover Set - Breathable Breast Lift Tape For A-E Cup Large Breasts!,1.0,Best Sellers,Bandage,1
5.6,34,0,SHEIN Running Cut Out Crossover Back Sports Tee,9.0,Best Sellers,Criss Cross Women Sports Tees & Tanks,1
